,dataset,n_cols,has_sex_or_gender_column,cols
96,Dan-A2/Iranian-Household-Data,48,True,"['id', 'parent_id', 'gender_id', 'age', 'has_special_disease', 'is_disabled', 'disability_severity', 'postal_code_7digits', 'is_urban', 'province_name', 'county_name', 'has_nutrition_support', 'behzisti_pension_increase', 'komite_pension_increase', 'komite_pension_increase_other', 'trip_air_pilgrimage_95_99', 'trip_air_nonpilgrimage_95_99', 'trip_nonair_pilgrimage_95_99', 'trip_nonair_nonpilgrimage_95_99', 'has_justice_shares', 'decile', 'percentile', 'has_business_license', 'is_government_employee_1402', 'is_retired_main', 'is_retired_secondary', 'has_health_insurance', 'is_insurance_payer', 'balance_start_1399', 'balance_end_1399', 'card_transactions_1399', 'deposit_1400', 'balance_start_1400', 'balance_end_1400', 'card_transactions_1400', 'card_transactions_1398', 'card_transactions_1401', 'card_transactions_1402', 'card_to_card_1401', 'card_to_card_1402', 'satna_transactions_1401', 'satna_transactions_1402', 'paya_transactions_1401', 'paya_transactions_1402', 'car_price_total', 'car_count', 'stock_portfolio_value', 'income']"
97,tarekmasryo/digital-lifestyle-benchmark-dataset,24,True,"['id', 'age', 'gender', 'region', 'income_level', 'education_level', 'daily_role', 'device_hours_per_day', 'phone_unlocks', 'notifications_per_day', 'social_media_mins', 'study_mins', 'physical_activity_days', 'sleep_hours', 'sleep_quality', 'anxiety_score', 'depression_score', 'stress_level', 'happiness_score', 'focus_score', 'high_risk_flag', 'device_type', 'productivity_score', 'digital_dependence_score']"
98,prpigitcse/tic-tac-toe-legal-distinct-move,8,False,"['game_id', 'step', 'player', 'board_state', 'next_move', 'result', 'board_state_str', 'symmetry_id']"
99,electricsheepafrica/africa-triple-negative-breast-cancer-gene-expression-profiles,26,False,"['sample_id', 'subtype', 'population', 'country', 'age', 'BMI', 'stage', 'grade', 'tumor_size_cm', 'histology', 'ER_status', 'PR_status', 'HER2_status', 'Ki67_percent', 'parity', 'age_at_menarche', 'breastfeeding_months', 'HIV_status', 'diabetes', 'hypertension', 'OS_1yr', 'OS_3yr', 'OS_5yr', 'DFS_1yr', 'DFS_3yr', 'DFS_5yr']"
100,electricsheepafrica/hormone-receptor-african,40,False,"['sample_id', 'population', 'country', 'age', 'age_group', 'ER_status', 'PR_status', 'HER2_status', 'subtype', 'ER_percentage', 'PR_percentage', 'HER2_score', 'tumor_grade', 'tumor_size_cm', 'lymph_node_status', 'nodes_positive', 'Ki67_index', 'stage', 'histology', 'BMI', 'BMI_category', 'height_cm', 'weight_kg', 'waist_circumference_cm', 'smoking_status', 'alcohol_units_per_week', 'physical_activity', 'parity', 'age_at_menarche', 'breastfeeding_months', 'menopausal_status', 'diabetes', 'hypertension', 'HIV_status', 'tuberculosis_history', 'family_history', 'BRCA_mutation', 'molecular_subtype', 'treatment_eligible', 'survival_months']"
101,shreyaspullehf/superconductor-3dsc,93,False,"['formula_sc', 'formula_similarity', 'totreldiff', 'formula_frac', 'correct_formula_frac', 'formula_2', 'orig_formula_cif', 'tc', 'sc_class', 'sc_class_unique_sc', 'norm_formula_sc', 'chemical_composition_sc', 'num_elements_sc', 'origin_sc', 'old_formula_sc', 'database_id_2', 'original_formula_2', 'chemical_composition_2', 'norm_formula_2', 'spacegroup_2', 'crystal_system_2', 'lata_2', 'latb_2', 'latc_2', 'cif', 'original_cif_2', 'material_id_2', 'band_gap_2', 'band_structure_2', 'created_at_2', 'density_2', 'doi_2', 'doi_bibtex_2', 'dos_2', 'e_above_hull_2', 'efermi_2', 'encut_2', 'energy_2', 'energy_per_atom_2', 'exp_2', 'final_energy_2', 'final_energy_per_atom_2', 'formation_energy_per_atom_2', 'has_2', 'has_bandstructure_2', 'icsd_ids_2', 'is_ordered_2', 'last_updated_2', 'magnetic_type_2', 'nsites_2', 'ntask_ids_2', 'original_task_id_2', 'oxide_type_2', 'pretty_formula_2', 'pseudo_potential_2', 'reduced_cell_formula_2', 'run_type_2', 'task_id_2', 'task_ids_2', 'total_magnetization_2', 'unit_cell_formula_2', 'cell_volume_2', 'warnings_2', 'ordering_2', 'is_magnetic_2', 'exchange_symmetry_2', 'num_unique_magnetic_sites_2', 'magmoms_2', 'total_magnetization_normalized_vol_2', 'total_magnetization_normalized_formula_units_2', 'num_magnetic_sites_2', 'true_total_magnetization_2', 'origin_2', 'cif_before_synthetic_doping', 'synth_doped', 'Reason for exclusion', 'graph', 'crystal_temp_2', 'no_crystal_temp_given_2', 'point_group_2', 'cubic', 'hexagonal', 'monoclinic', 'orthorhombic', 'tetragonal', 'triclinic', 'trigonal', 'primitive', 'base-centered', 'body-centered', 'face-centered', 'weight', 'cif_exists']"
102,ronantakizawa/trending-stocks-yahoo-finance,11,False,"['year', 'rank', 'symbol', 'name', 'times_trended', 'best_rank', 'avg_rank', 'median_rank', 'max_price', 'max_market_cap', 'max_volume']"
103,ENDKOO/ai-roi-b2b-france-200-deployments,20,False,"['project_id', 'year', 'quarter', 'sector', 'company_size', 'revenue_m_eur', 'ai_use_case', 'deployment_type', 'days_diagnostic', 'days_poc', 'days_to_deployment', 'days_to_positive_roi', 'investment_eur', 'annual_gain_eur', 'roi_percent', 'time_saved_hours_month', 'revenue_increase_percent', 'failure', 'failure_reason', 'human_in_loop']"
104,Haxxsh/gdgc-datathon-data,36,False,"['id', 'Unique ID', 'Rider_ID', 'Formula_category_x', 'Len_Circuit_inkm', 'Laps', 'Start_Position', 'Formula_Avg_Speed_kmh', 'Formula_Track_Condition', 'Humidity_%', 'Tire_Compound', 'Penalty', 'Champ_Points', 'Champ_Position', 'Session', 'race_year', 'seq', 'position', 'points', 'Formula_shortname', 'circuit_name', 'Corners_in_Lap', 'Tire_Degradation_Factor_per_Lap', 'Pit_Stop_Duration_Seconds', 'Ambient_Temperature_Celsius', 'Track_Temperature_Celsius', 'weather', 'track', 'air', 'ground', 'starts', 'finishes', 'with_points', 'podiums', 'wins', 'Lap_Time_Seconds']"
105,sfiore/spotify-tracks-dataset,21,False,"['Unnamed: 0', 'track_id', 'artists', 'album_name', 'track_name', 'popularity', 'duration_ms', 'explicit', 'danceability', 'energy', 'key', 'loudness', 'mode', 'speechiness', 'acousticness', 'instrumentalness', 'liveness', 'valence', 'tempo', 'time_signature', 'track_genre']"
106,r7dai/cinerai-1800,14,False,"['scene_index', 'scene_text', 'imdb_id', 'budget', 'revenue', 'roi', 'success_label', 'vote_average', 'vote_count', 'popularity', 'runtime', 'release_year', 'genres', 'original_language']"
107,Eklavya16/ott-viewer-dropoff-retention,23,False,"['show_id', 'title', 'platform', 'genre', 'release_year', 'season_number', 'episode_number', 'episode_duration_min', 'pacing_score', 'hook_strength', 'dialogue_density', 'visual_intensity', 'avg_watch_percentage', 'pause_count', 'rewind_count', 'skip_intro', 'cognitive_load', 'attention_required', 'night_watch_safe', 'drop_off', 'drop_off_probability', 'retention_risk', 'dataset_version']"
108,tarekmasryo/rag-qa-logs-corpus-data,49,False,"['example_id', 'run_id', 'scenario_id', 'query_id', 'split', 'domain', 'task_type', 'difficulty', 'query', 'gold_answer', 'answer_tokens', 'is_correct', 'correctness_label', 'faithfulness_label', 'hallucination_flag', 'retrieval_strategy', 'chunking_strategy', 'n_retrieved_chunks', 'top1_score', 'mean_retrieved_score', 'recall_at_5', 'recall_at_10', 'mrr_at_10', 'used_long_context_window', 'context_window_tokens', 'latency_ms_retrieval', 'latency_ms_generation', 'total_latency_ms', 'embedding_model', 'reranker_model', 'doc_ids_used', 'chunk_ids_used', 'supervising_judge_label', 'eval_mode', 'user_feedback_label', 'created_at_utc', 'generator_model', 'temperature', 'top_p', 'max_new_tokens', 'stop_reason', 'prompt_tokens', 'total_cost_usd', 'has_answer_in_corpus', 'is_noanswer_probe', 'has_relevant_in_top5', 'has_relevant_in_top10', 'answered_without_retrieval', 'run_config_id']"
109,kemhug11/nasa-cmapss-rul,27,False,"['unit_number', 'time_in_cycles', 'op_setting_1', 'op_setting_2', 'op_setting_3', 'sensor_1', 'sensor_2', 'sensor_3', 'sensor_4', 'sensor_5', 'sensor_6', 'sensor_7', 'sensor_8', 'sensor_9', 'sensor_10', 'sensor_11', 'sensor_12', 'sensor_13', 'sensor_14', 'sensor_15', 'sensor_16', 'sensor_17', 'sensor_18', 'sensor_19', 'sensor_20', 'sensor_21', 'RUL']"
110,afaskar/Aqar.fm-Saudi-Real-Estate-Listings,79,False,"['id', 'title', 'url', 'price', 'meter_price', 'price_2_payments', 'price_4_payments', 'price_12_payments', 'rnpl_monthly_price', 'area_sqm', 'deed_area', 'num_bedrooms', 'num_bathrooms', 'num_living_rooms', 'num_kitchens', 'num_rooms', 'floor_level', 'furnished', 'duplex', 'ac', 'lift', 'maid_room', 'driver_room', 'pool', 'basement', 'backyard', 'playground', 'car_entrance', 'stairs', 'water_availability', 'electrical_availability', 'drainage_availability', 'private_roof', 'two_entrances', 'special_entrance', 'apartment_in_villa', 'street_width', 'direction', 'city', 'district', 'address', 'latitude', 'longitude', 'category_id', 'category_ga_listing_type', 'category_ga_property_category', 'category_is_rent', 'category_name', 'category_en', 'category_plural', 'category_uri', 'category_path', 'category_keywords', 'category_description', 'category_index', 'sale_type', 'is_rental', 'is_sale', 'is_auction', 'is_daily_rental', 'create_time', 'published_at', 'last_update', 'verified', 'boosted', 'premium', 'has_img', 'has_video', 'ad_license_number', 'deed_number', 'rega_licensed', 'plan_no', 'parcel_no', 'user_verified', 'company_name', 'user_paid_tier', 'description', 'images', 'videos']"
111,YearWather/global-warming-cities-2026,8,False,"['City', 'Country', 'Continent', 'Avg Temp Start (1996)', 'Avg Temp End (2025)', 'Total Warming (C)', 'Warming Rate (C/Decade)', 'Prediction 2026 (C)']"
112,tarekmasryo/llm-system-ops-production-telemetry-sft-data,55,False,"['interaction_id', 'session_id', 'user_id', 'timestamp_utc', 'split', 'channel', 'use_case', 'country_code', 'region', 'account_tier', 'segment', 'instruction_template', 'model_provider', 'model_name', 'temperature', 'top_p', 'max_tokens', 'prompt_tokens', 'completion_tokens', 'total_tokens', 'latency_ms', 'cost_usd', 'response_quality_score', 'is_failure', 'failure_type', 'hallucination_flag', 'toxicity_flag', 'safety_block_flag', 'formatting_error_flag', 'tool_error_flag', 'latency_timeout_flag', 'tool_calls_count', 'tools_used', 'user_feedback_score', 'user_feedback_label', 'user_reported_issue', 'retry_index', 'repair_strategy', 'final_resolution_state', 'business_impact_tag', 'request_text', 'response_text_snippet', 'tokens_per_second', 'date_utc', 'hour_of_day_utc', 'day_of_week', 'is_weekend', 'is_peak_hour', 'prompt_to_completion_ratio', 'request_text_template', 'instruction_text', 'user_feedback_observed', 'prompt_id', 'response_text_snippet_len_chars', 'response_text_snippet_is_truncated']"
113,ivopersus/LeakProTabular,10,False,"['time', 'Rad Flow', 'Fpv Close', 'Fpv Open', 'High', 'Bypass', 'Bpv Close', 'Bpv Open', 'Unknown', 'class']"
114,TitanOrionAI/MEV-Solana-Synthetic-Training-Data-Spark-5k,9,False,"['timestamp_utc', 'pair', 'market_regime', 'execution_price', 'jito_tip_lamports', 'titan_alpha_score', 'program_id', 'slot_contention', 'cu_consumed']"
115,TitanOrionAI/Mempool-Solana-Synthetic-Training-Data-Spark-5k,9,False,"['timestamp_utc', 'pair', 'market_regime', 'execution_price', 'jito_tip_lamports', 'titan_alpha_score', 'program_id', 'slot_contention', 'cu_consumed']"
116,uralstech/AIDE-Chip-15K-gem5-Sims,12,False,"['l1d_size', 'l1i_size', 'l2_size', 'l1d_assoc', 'l1i_assoc', 'l2_assoc', 'workload', 'ipc', 'l2_miss_rate', 'sim_duration_s', 'error', 'error_msg']"
117,kbaastrup/cycling-cadence-speed-development,7,False,"['CadenceRPM', 'Gear', 'Wheel', 'Development_m', 'Speed_kmh', 'Pace_min_per_km', 'Pace_min_per_mile']"
118,Adrian8216/remote-worker-productivity,30,True,"['Employee_ID', 'Age', 'Years_Experience', 'WFH_Days_Per_Week', 'Gender', 'Education_Level', 'Marital_Status', 'Has_Children', 'Location_Type', 'Department', 'Job_Level', 'Company_Size', 'Industry', 'Home_Office_Quality', 'Internet_Speed_Category', 'Work_Hours_Per_Week', 'Manager_Support_Level', 'Team_Collaboration_Frequency', 'Productivity_Score', 'Task_Completion_Rate', 'Quality_Score', 'Innovation_Score', 'Efficiency_Rating', 'Meetings_Per_Week', 'Commute_Time_Minutes', 'Job_Satisfaction', 'Stress_Level', 'Work_Life_Balance', 'Survey_Date', 'Response_Quality']"
119,Cleanlab/student-grades-regression,6,False,"['exam_1', 'exam_2', 'exam_3', 'notes', 'final_score', 'true_final_score']"
120,Riyassk48r/palmer-penguins,8,True,"['species', 'island', 'bill_length_mm', 'bill_depth_mm', 'flipper_length_mm', 'body_mass_g', 'sex', 'year']"
121,Faizasb/spotify-tracks-dataset,21,False,"['Unnamed: 0', 'track_id', 'artists', 'album_name', 'track_name', 'popularity', 'duration_ms', 'explicit', 'danceability', 'energy', 'key', 'loudness', 'mode', 'speechiness', 'acousticness', 'instrumentalness', 'liveness', 'valence', 'tempo', 'time_signature', 'track_genre']"
122,davidfertube/turbine-health-data,6,False,"['cycle', 'health_index', 'vibration', 'heat_rate_delta', 'operating_hours', 'start_count']"
123,Genentech/enformer-data,4,False,"['chrom', 'start', 'end', 'split']"
124,mukherjee78/predictive-maintenance-engine-data,7,False,"['engine_rpm', 'lub_oil_pressure', 'fuel_pressure', 'coolant_pressure', 'lub_oil_temp', 'coolant_temp', 'engine_condition']"
125,kasunUdayanga/srilanka_tea_yield,4,False,"['Rainfall_mm', 'Temperature_C', 'Fertilizer_kg', 'Yield_kg']"
126,kasunUdayanga/Tea_Yield_Prediction,9,False,"['Rainfall_mm', 'Avg_Temp_C', 'Soil_pH', 'Fertilizer_kg_per_hectare', 'Sunshine_hours', 'Altitude_m', 'Age_of_tea_plant_years', 'Yield_kg_per_hectare', 'Season_Condition']"
127,wasitkrish/ChEMBL-ASK1-Fibrosis,11,False,"['molecule_chembl_id', 'canonical_smiles', 'standard_value', 'pIC50', 'MW', 'LogP', 'HBD', 'HBA', 'TPSA', 'RotB', 'Label']"
128,kasunUdayanga/Tea_yield_6_features,7,False,"['rainfall_mm', 'temperature_avg', 'soil_ph', 'fertilizer_kg_ha', 'plant_age_years', 'altitude_m', 'yield_kg_ha']"
129,ClarusC64/premier-league-linkage-stress-degradation-under-pressure-v0.1,16,False,"['id', 'match_id', 'minute_window', 'team', 'opponent_press_profile', 'baseline_linkage_summary', 'stressor_description', 'stressed_linkage_loss_percent', 'pressure_specific_failure_points', 'fatigue_sensitivity_index', 'press_exploitability_map', 'time_to_linkage_failure', 'dominant_stressor_signature', 'notes', 'constraints', 'gold_checklist']"
130,samy129/spotify-tracks-dataset,21,False,"['Unnamed: 0', 'track_id', 'artists', 'album_name', 'track_name', 'popularity', 'duration_ms', 'explicit', 'danceability', 'energy', 'key', 'loudness', 'mode', 'speechiness', 'acousticness', 'instrumentalness', 'liveness', 'valence', 'tempo', 'time_signature', 'track_genre']"
131,Akram18/spotify-tracks-dataset,21,False,"['Unnamed: 0', 'track_id', 'artists', 'album_name', 'track_name', 'popularity', 'duration_ms', 'explicit', 'danceability', 'energy', 'key', 'loudness', 'mode', 'speechiness', 'acousticness', 'instrumentalness', 'liveness', 'valence', 'tempo', 'time_signature', 'track_genre']"
132,ClarusC64/aviation-propulsion-aerodynamics-coherence-baseline-v0.1,15,False,"['id', 'flight_phase', 'aircraft_context', 'engine_params_summary', 'aero_state_summary', 'control_surface_summary', 'coupling_coherence_index', 'baseline_correlation_matrix', 'phase_alignment_score', 'stability_envelope', 'lag_profile', 'baseline_confidence', 'notes', 'constraints', 'gold_checklist']"
133,ClarusC64/aviation-flight-control-phase-space-baseline-modeling-v0.1,16,False,"['id', 'aircraft_context', 'flight_phase', 'surface_channel', 'commanded_state_summary', 'actual_state_summary', 'force_pressure_summary', 'phase_space_features', 'phase_space_coherence_index', 'baseline_dispersion_envelope', 'command_response_lag_profile', 'control_energy_efficiency', 'baseline_confidence', 'notes', 'constraints', 'gold_checklist']"
134,ClarusC64/aviation-avionics-redundant-narrative-baseline-construction-v0.1,14,False,"['id', 'flight_phase', 'system_cluster', 'sensor_stream_summary', 'redundancy_sources', 'observed_agreement_pattern', 'narrative_agreement_index', 'expected_disagreement_envelope', 'cross_system_lag_profile', 'baseline_consensus_graph', 'baseline_confidence', 'notes', 'constraints', 'gold_checklist']"
135,ClarusC64/aviation-avionics-narrative-drift-and-divergence-detection-v0.1,15,False,"['id', 'flight_phase', 'system_cluster', 'sensor_stream_summary', 'redundancy_sources', 'observed_pattern', 'drift_detected', 'divergence_type', 'affected_systems', 'drift_growth_rate', 'stability_risk_score', 'recommended_isolation_priority', 'notes', 'constraints', 'gold_checklist']"
136,ClarusC64/aviation-avionics-isolation-reset-containment-mapping-v0.1,15,False,"['id', 'flight_phase', 'system_cluster', 'anomaly_summary', 'redundancy_state', 'observed_instability', 'isolation_target', 'reset_required', 'containment_level', 'propagation_risk', 'stability_recovery_score', 'action_priority', 'notes', 'constraints', 'gold_checklist']"
137,ClarusC64/aviation-vibration-mode-manifold-baseline-modeling-v0.1,14,False,"['id', 'aircraft_context', 'flight_phase', 'sensor_layout', 'vibration_mode_summary', 'coupling_features', 'manifold_coherence_index', 'baseline_mode_coupling_graph', 'expected_mode_drift_envelope', 'phase_conditioned_baselines', 'baseline_confidence', 'notes', 'constraints', 'gold_checklist']"
138,ClarusC64/aviation-vibration-manifold-distortion-and-fault-localization-v0.1,17,False,"['id', 'aircraft_context', 'flight_phase', 'sensor_layout', 'baseline_reference', 'vibration_mode_summary', 'coupling_features', 'observed_distortion_summary', 'distortion_pattern_type', 'likely_fault_location', 'fault_severity_estimate', 'localization_confidence', 'confounder_flags', 'integrity_percent_of_baseline', 'notes', 'constraints', 'gold_checklist']"
139,ClarusC64/aviation-pilot-vehicle-loop-coherence-state-estimation-v0.1,15,False,"['id', 'aircraft_context', 'flight_phase', 'abnormal_condition', 'control_input_summary', 'aircraft_response_summary', 'coupling_features', 'loop_coherence_index', 'resonance_stability_band', 'control_lag_profile', 'correction_efficiency_score', 'baseline_deviation', 'notes', 'constraints', 'gold_checklist']"
140,ClarusC64/aviation-pilot-vehicle-decoherence-source-attribution-v0.1,16,False,"['id', 'aircraft_context', 'flight_phase', 'abnormal_condition', 'control_input_summary', 'aircraft_response_summary', 'coupling_features', 'primary_decoherence_source', 'source_confidence', 'resonance_pattern_type', 'escalation_likelihood', 'contributing_factors', 'attribution_rationale', 'notes', 'constraints', 'gold_checklist']"
141,ClarusC64/aviation-pilot-vehicle-adaptive-intervention-and-recovery-mapping-v0.1,17,False,"['id', 'aircraft_context', 'flight_phase', 'abnormal_condition', 'loop_coherence_index', 'primary_decoherence_source', 'resonance_pattern_type', 'key_constraints', 'loss_of_control_risk', 'recovery_window_seconds', 'recommended_adaptive_action', 'intervention_priority', 'recovery_confidence', 'post_action_stability_expectation', 'notes', 'constraints', 'gold_checklist']"
142,ClarusC64/pharma-synergy-antagonism-emergence-detection-v0.1,15,False,"['id', 'combo', 'reference_single_agents', 'context', 'observed_combo_effect', 'expected_additive_effect', 'emergent_state_label', 'synergy_index', 'antagonism_index', 'toxicity_amplification_flag', 'stability_score', 'evidence_alignment_note', 'notes', 'constraints', 'gold_checklist']"
143,ClarusC64/pharma-combination-niche-and-stability-mapping-v0.1,15,False,"['id', 'combination', 'indication', 'subgroup_context', 'dose_context', 'observed_outcomes', 'niche_definition', 'safe_dose_band', 'relapse_risk_index', 'paradox_zone_flags', 'systemic_resilience_gain', 'subgroup_sensitivity', 'notes', 'constraints', 'gold_checklist']"
144,ClarusC64/clinical-mechanism-basin-coherence-matching-v0.1,18,False,"['id', 'disease_area', 'basin_profile_summary', 'invariant_feature_set', 'mechanism_profile', 'target_pathways', 'expected_on_target_effects', 'known_tradeoffs', 'match_context', 'mechanism_basin_match_score', 'responsive_basin_label', 'predicted_response_vector', 'coherence_delta', 'off_target_basin_risk', 'rationale_channels', 'notes', 'constraints', 'gold_checklist']"
145,ClarusC64/clinical-trial-basin-enrichment-and-recruitment-v0.1,17,False,"['id', 'disease_area', 'candidate_mechanism', 'mechanism_basin_evidence_summary', 'manifold_basin_menu', 'candidate_inclusion_signals', 'candidate_exclusion_signals', 'trial_endpoint_summary', 'eligible_basin_definition', 'recruitment_filter_rules', 'signal_amplification_index', 'heterogeneity_dilution_risk', 'expected_trial_coherence_gain', 'exclusion_rationale', 'notes', 'constraints', 'gold_checklist']"
146,ClarusC64/pharma-toxicity-coherence-baseline-modeling-v0.1,17,False,"['id', 'platform', 'compound_class', 'dose_context', 'time_window', 'tissues_or_modules', 'readout_streams', 'baseline_state_summary', 'coupling_observations', 'baseline_coherence_score', 'expected_coupling_map', 'stress_response_synchrony_index', 'baseline_variance_envelope', 'coherence_manifold_anchor', 'notes', 'constraints', 'gold_checklist']"
147,ClarusC64/pharma-adaptation-early-phase-detection-v0.1,19,False,"['id', 'trial_context', 'compound', 'dose_regimen', 'baseline_state_summary', 'early_signal_window', 'biomarker_shift_summary', 'cross_system_coupling_notes', 'observed_short_term_effect', 'adaptation_onset_time', 'acute_response_pattern', 'coupling_shift_signature', 'stabilization_direction', 'early_compensation_flag', 'trajectory_seed_class', 'confidence_score', 'notes', 'constraints', 'gold_checklist']"
148,ClarusC64/pharma-compensation-stabilization-classification-v0.1,19,False,"['id', 'trial_context', 'compound', 'dosing_pattern', 'baseline_system_state', 'observation_window', 'multiomic_signal_summary', 'coupling_dynamics_notes', 'clinical_effect_summary', 'trajectory_class', 'compensation_loop_detected', 'stabilization_score', 'tolerance_drift_risk', 'rebound_risk', 'dominant_system_axis', 'confidence_score', 'notes', 'constraints', 'gold_checklist']"
149,ClarusC64/pharma-market-access-value-manifold-construction-v0.1,20,False,"['id', 'therapy_area', 'compound', 'indication', 'comparator_context', 'efficacy_summary', 'safety_summary', 'real_world_evidence_notes', 'cost_profile_summary', 'payer_context_notes', 'clinical_benefit_axis', 'comparator_advantage_score', 'cost_effectiveness_position', 'evidence_strength_index', 'narrative_alignment_score', 'payer_acceptance_baseline', 'confidence_score', 'notes', 'constraints', 'gold_checklist']"
150,ClarusC64/pharma-pharmacological-vs-contextual-signal-separation-v0.1,20,False,"['id', 'trial_id', 'condition', 'arm_type', 'belief_score', 'expectancy_score', 'clinician_signal_strength', 'setting_support_score', 'baseline_symptom_severity', 'outcome_change_short_term', 'biomarker_shift_short_term', 'adherence_proxy', 'pure_pharmacological_effect', 'contextual_amplification_factor', 'nocebo_risk_index', 'signal_separation_confidence', 'effect_stability_score', 'notes', 'constraints', 'gold_checklist']"
151,Genentech/borzoi-data,5,False,"['chrom', 'start', 'end', 'fold', 'split']"
152,Srikanth-Karthi/ecommerce-predictor-data,8,False,"['Email', 'Address', 'Avatar', 'Avg. Session Length', 'Time on App', 'Time on Website', 'Length of Membership', 'Yearly Amount Spent']"
153,ClarusC64/fusion-magnetic-thermal-impurity-coupling-baseline-v0.1,15,False,"['id', 'device_class', 'magnetic_fluctuation_index', 'temperature_gradient_index', 'impurity_concentration_ppm', 'confinement_quality_h98', 'cross_field_correlation', 'stability_margin_index', 'coupling_strength_index', 'expected_coupling_band', 'anomaly_score', 'confidence_score', 'notes', 'constraints', 'gold_checklist']"
154,ClarusC64/fusion-cross-field-decoherence-precursor-detection-v0.1,21,False,"['id', 'device_class', 'window_ms', 'rolling_mag_temp_corr', 'rolling_temp_impurity_corr', 'rolling_mag_impurity_corr', 'magnetic_fluctuation_index', 'temperature_gradient_index', 'impurity_concentration_ppm', 'turbulence_index', 'confinement_quality_h98', 'drift_rate', 'stability_margin_index', 'decoherence_precursor_flag', 'onset_ms_before_quench', 'precursor_pattern_label', 'disruption_risk_score', 'confidence_score', 'notes', 'constraints', 'gold_checklist']"
155,ClarusC64/energy-grid-phase-coherence-baseline-mapping-v0.1,18,False,"['id', 'grid_region_set', 'sampling_interval_s', 'avg_frequency_hz', 'frequency_std_hz', 'phase_angle_spread_deg', 'intertie_flow_mw', 'load_stress_index', 'reactive_reserve_pct', 'inertia_index', 'regional_phase_coherence_index', 'cross_region_sync_strength', 'baseline_stability_margin', 'drift_rate', 'stress_localization', 'notes', 'constraints', 'gold_checklist']"
156,ClarusC64/energy-grid-cascade-horizon-and-intervention-routing-v0.1,21,False,"['id', 'grid_region_set', 'window_min', 'frequency_std_hz', 'phase_spread_deg', 'intertie_loading_pct', 'reactive_reserve_pct', 'inertia_index', 'coherence_decay_score', 'divergence_gradient', 'decoupling_flag', 'instability_onset_min_ahead', 'cascade_horizon_min', 'primary_risk_cluster', 'intervention_priority', 'intervention_set', 'expected_stabilization_gain', 'confidence_score', 'notes', 'constraints', 'gold_checklist']"
157,ClarusC64/ffr-anatomy-prediction-coherence-baseline-mapping-v0.1,14,False,"['id', 'case_context', 'vessel_tortuosity', 'calcification_burden', 'lesion_length_mm', 'segmentation_confidence', 'ai_ffr_prediction', 'invasive_ffr_ground_truth', 'prediction_error', 'coherence_score', 'baseline_label', 'notes', 'constraints', 'gold_checklist']"
158,ClarusC64/ffr-anatomy-prediction-discordance-detection-v0.1,19,False,"['id', 'case_context', 'vessel_tortuosity', 'calcification_burden', 'lesion_length_mm', 'segmentation_confidence', 'image_artifact_score', 'ai_ffr_prediction', 'ai_ffr_run_variance', 'model_disagreement', 'invasive_ffr_ground_truth', 'abs_error', 'discordance_flag', 'discordance_type', 'subgroup_risk_label', 'reliability_drop_score', 'notes', 'constraints', 'gold_checklist']"
159,ClarusC64/ffr-physiology-prediction-coherence-baseline-mapping-v0.1,14,False,"['id', 'case_context', 'ai_ffr_prediction', 'myocardial_perfusion_index', 'wall_motion_score', 'stress_test_result', 'heart_rate', 'blood_pressure_systolic', 'physiology_alignment_error', 'physiological_coherence_score', 'baseline_label', 'notes', 'constraints', 'gold_checklist']"
160,ClarusC64/ffr-physiological-plausibility-decay-detection-v0.1,18,False,"['id', 'case_context', 'ai_ffr_prediction', 'myocardial_perfusion_index', 'wall_motion_score', 'stress_test_result', 'heart_rate', 'blood_pressure_systolic', 'physiological_coherence_score', 'expected_plausibility_band', 'plausibility_gap', 'plausibility_decay_flag', 'decay_type', 'modality_conflict_label', 'plausibility_drop_score', 'notes', 'constraints', 'gold_checklist']"
161,ClarusC64/ffr-center-protocol-coherence-baseline-mapping-v0.1,21,False,"['id', 'site_id', 'center_type', 'scanner_vendor', 'scanner_model', 'reconstruction_kernel', 'slice_thickness_mm', 'heart_rate_control', 'contrast_protocol', 'motion_artifact_rate', 'signal_to_noise', 'protocol_signature_hash', 'baseline_model_auc', 'baseline_model_mae', 'site_observed_mae', 'site_coherence_score', 'protocol_deviation_index', 'risk_flag', 'notes', 'constraints', 'gold_checklist']"
162,ClarusC64/ffr-center-performance-drift-detection-v0.1,18,False,"['id', 'site_id', 'window_days', 'protocol_signature_hash', 'motion_artifact_rate', 'signal_to_noise', 'plausibility_conflict_rate', 'rolling_auc', 'rolling_mae', 'rolling_mae_delta', 'calibration_error_shift', 'coherence_trend', 'drift_type', 'predicted_failure_risk', 'detection_confidence', 'notes', 'constraints', 'gold_checklist']"
163,ClarusC64/ffr-center-failure-surface-routing-v0.1,26,False,"['id', 'site_id', 'window_days', 'protocol_signature_hash', 'motion_artifact_rate', 'signal_to_noise', 'plausibility_conflict_rate', 'rolling_auc', 'rolling_mae', 'rolling_mae_delta', 'calibration_error_shift', 'coherence_trend', 'drift_type', 'predicted_failure_risk', 'detection_confidence', 'drift_severity', 'failure_surface_type', 'subgroup_affected', 'intervention_route', 'recalibration_needed', 'protocol_reset_plan', 'escalation_priority', 'confidence_score', 'notes', 'constraints', 'gold_checklist']"
