subset,category,test_fold,model,mse,mae
U,other,2,featureless,1.1497708563024072,0.3880259759647117
U,other,2,linear,1.1215768075482986,0.41278757995536086
U,other,2,gam,1.0870837306941266,0.4188617586055258
U,all,3,featureless,2.8794655977058023,0.44065779714536396
U,all,3,linear,2.776653141563026,0.4398932638769539
U,all,3,gam,2.7754303628785677,0.44530937606111337
U,same,3,featureless,2.8633086336599547,0.5122049956821199
U,same,3,linear,2.776877965388395,0.4571208112799177
U,same,3,gam,2.784575538070613,0.4533372453467039
U,other,3,featureless,2.881951882064234,0.4346116779773716
U,other,3,linear,2.7766477127608082,0.4398403576719564
U,other,3,gam,2.7760016469865745,0.44758049691945484
U,all,4,featureless,1.6877440579141492,0.4274556457741707
U,all,4,linear,1.515131591054723,0.43608222048914363
U,all,4,gam,1.5066282416820542,0.4432116698778137
U,same,4,featureless,1.6747159325199024,0.5026092056034599
U,same,4,linear,1.5318158014973242,0.4608548517582883
U,same,4,gam,1.5437240699252832,0.4586715152895362
U,other,4,featureless,1.6900221996437317,0.4211078328422112
U,other,4,linear,1.5136154470623904,0.4362250478317056
U,other,4,gam,1.5051704533493986,0.4454280250035602
U,all,5,featureless,1.6598698806448398,0.4286974553406255
U,all,5,linear,1.593986556366255,0.43256387333753155
U,all,5,gam,1.573491716871552,0.43284627715384805
U,same,5,featureless,1.6458559901459988,0.5015408551654273
U,same,5,linear,1.5878535140829626,0.44989243783972516
U,same,5,gam,1.5820406020543194,0.4435478961130414
U,other,5,featureless,1.6622139217814402,0.4225617717437807
U,other,5,linear,1.5949124480310777,0.43223248304348755
U,other,5,gam,1.5740640136025013,0.4337638117484506
