subset,category,fold_id,model,downsample,seed_id,train_size,test_size,rmse,mae
M,all,5,linear,True,1,61737,15434,0.8389119396033026,0.49900295849034404
M,all,5,linear,True,1,22828,15434,0.8389646296449562,0.49749359361479223
M,all,5,linear_BasExp,True,1,61737,15434,0.8011736403762325,0.4599261891426317
M,all,5,linear_BasExp,True,1,22828,15434,0.8021286714081535,0.4591226886295203
M,all,5,tree,True,1,61737,15434,0.746309217361836,0.40611311236077274
M,all,5,tree,True,1,22828,15434,0.7531996010125162,0.4102921949771619
F,other,1,featureless,True,2,18262,4566,1.0951840664588848,0.6637961828567607
F,other,1,linear,True,2,18262,4566,0.9635261893191492,0.5262505069018096
F,other,1,linear_BasExp,True,2,18262,4566,0.9118067967778005,0.499477747150023
F,other,1,tree,True,2,18262,4566,0.8510329146703758,0.4672796543704572
F,all,1,featureless,True,2,18262,4566,1.0893239847470184,0.6746303657325464
F,all,1,featureless,True,2,77172,4566,1.087739627306035,0.6776944789210675
F,all,1,linear,True,2,18262,4566,0.9489963985115917,0.5315680736307229
F,all,1,linear,True,2,77172,4566,0.9489777562625987,0.5323789085723589
F,all,1,linear_BasExp,True,2,18262,4566,0.9051943743486357,0.49584459215260385
F,all,1,linear_BasExp,True,2,77172,4566,0.9082960430655866,0.5023171884631097
F,all,1,tree,True,2,18262,4566,0.8466708589298654,0.4681204540479749
F,all,1,tree,True,2,77172,4566,0.8433573079488262,0.45891277583450485
F,other,2,featureless,True,2,18262,4566,1.0928735623432424,0.6527721089952275
F,other,2,linear,True,2,18262,4566,0.9776730222836821,0.5179811797535527
F,other,2,linear_BasExp,True,2,18262,4566,0.9258246994068263,0.4878749163148329
F,other,2,tree,True,2,18262,4566,0.8553770593437751,0.4547277450860888
F,all,2,featureless,True,2,18262,4566,1.0864380248461047,0.66191953238051
F,all,2,featureless,True,2,77172,4566,1.086929027352326,0.6619615813319306
F,all,2,linear,True,2,18262,4566,0.9711809439281432,0.5162737555985077
F,all,2,linear,True,2,77172,4566,0.9716888947677511,0.5206386009672693
F,all,2,linear_BasExp,True,2,18262,4566,0.9193809932678119,0.49384209990781947
F,all,2,linear_BasExp,True,2,77172,4566,0.9311624539755711,0.48987941083557496
F,all,2,tree,True,2,18262,4566,0.8501706238324055,0.4618063656431415
F,all,2,tree,True,2,77172,4566,0.8434576149187767,0.4539378554500648
F,other,3,featureless,True,2,18262,4566,1.0877717498062904,0.664269703575727
F,other,3,linear,True,2,18262,4566,0.9372389216268243,0.5272949204892944
F,other,3,linear_BasExp,True,2,18262,4566,0.9008156615081959,0.4982067542309593
F,other,3,tree,True,2,18262,4566,0.8457491174009101,0.46850335237719853
F,all,3,featureless,True,2,18262,4566,1.084320455200389,0.6737381025162179
F,all,3,featureless,True,2,77172,4566,1.0836679714531712,0.675639772897038
F,all,3,linear,True,2,18262,4566,0.9262266350850322,0.5340168501920415
F,all,3,linear,True,2,77172,4566,0.9296605296012225,0.5363897864939604
F,all,3,linear_BasExp,True,2,18262,4566,0.8964095611640408,0.5064426508678408
F,all,3,linear_BasExp,True,2,77172,4566,0.8934618459860577,0.5057603071289603
F,all,3,tree,True,2,18262,4566,0.8386926448836494,0.47058168497453956
F,all,3,tree,True,2,77172,4566,0.8348973235625147,0.4674945988358919
F,other,4,featureless,True,2,18262,4565,1.083170918833629,0.6400276102054375
F,other,4,linear,True,2,18262,4565,0.9580140372221155,0.5186561766314374
F,other,4,linear_BasExp,True,2,18262,4565,0.9207877018671304,0.49500199673905976
F,other,4,tree,True,2,18262,4565,0.8460923169083879,0.4751386784216145
F,all,4,featureless,True,2,18262,4565,1.0765074736885352,0.6513468315489065
F,all,4,featureless,True,2,77172,4565,1.0777537034000662,0.6492500771410726
F,all,4,linear,True,2,18262,4565,0.9506979689955041,0.5191944442049146
F,all,4,linear,True,2,77172,4565,0.9492066644082238,0.5225904735495324
F,all,4,linear_BasExp,True,2,18262,4565,0.9080601928139711,0.5058920333482859
F,all,4,linear_BasExp,True,2,77172,4565,0.9089818261439575,0.5030496172345751
F,all,4,tree,True,2,18262,4565,0.8404747393425579,0.4736576244710292
F,all,4,tree,True,2,77172,4565,0.8396867375668633,0.4776562967181599
F,other,5,featureless,True,2,18262,4565,1.0724188064645654,0.6431055462674079
F,other,5,linear,True,2,18262,4565,0.9616739114272457,0.5224836875565696
F,other,5,linear_BasExp,True,2,18262,4565,0.9183395136111367,0.4904948372701301
F,other,5,tree,True,2,18262,4565,0.8501096103242062,0.4601241439880841
F,all,5,featureless,True,2,18262,4565,1.0679027497656781,0.6492793219477363
F,all,5,featureless,True,2,77172,4565,1.0676564526000234,0.649582996521664
F,all,5,linear,True,2,18262,4565,0.9537090529107894,0.5312426993396651
F,all,5,linear,True,2,77172,4565,0.95577341688073,0.5303940629768984
F,all,5,linear_BasExp,True,2,18262,4565,0.9138065981880471,0.5010594841566174
F,all,5,linear_BasExp,True,2,77172,4565,0.9117416694957915,0.49789534099413624
F,all,5,tree,True,2,18262,4565,0.8444275611752264,0.4621763767179089
F,all,5,tree,True,2,77172,4565,0.8411220911175568,0.4529441056582234
M,same,1,featureless,True,2,22828,15435,0.9743039024847117,0.6216158713763347
M,same,1,linear,True,2,22828,15435,0.8295765108886619,0.4855607550137683
M,same,1,linear_BasExp,True,2,22828,15435,0.8074920513343515,0.4423722110475245
M,same,1,tree,True,2,22828,15435,0.7382634405757084,0.4092877573973984
M,all,1,featureless,True,2,61737,15435,0.9752233641127864,0.6403389792430292
M,all,1,featureless,True,2,22828,15435,0.9756170856269861,0.6423897454499482
M,all,1,linear,True,2,61737,15435,0.8307101430246279,0.4915069455109951
M,all,1,linear,True,2,22828,15435,0.8311665985354494,0.4959327997942965
M,all,1,linear_BasExp,True,2,61737,15435,0.7892632117474044,0.46020758725808814
M,all,1,linear_BasExp,True,2,22828,15435,0.7910186694811208,0.45911174182881553
M,all,1,tree,True,2,61737,15435,0.7355081409958557,0.40939018789928316
M,all,1,tree,True,2,22828,15435,0.7384435406024837,0.40863844964967355
M,same,2,featureless,True,2,22828,15435,0.9803642107082485,0.628048308206887
M,same,2,linear,True,2,22828,15435,0.8288760027329692,0.47910903848246034
M,same,2,linear_BasExp,True,2,22828,15435,0.7890037012334613,0.44935409106113805
M,same,2,tree,True,2,22828,15435,0.7405465099189213,0.40430822883907214
M,all,2,featureless,True,2,61737,15435,0.9814072788154364,0.6510360695340125
M,all,2,featureless,True,2,22828,15435,0.981426251206164,0.6514343060147686
M,all,2,linear,True,2,61737,15435,0.8308996654905396,0.501535687517705
M,all,2,linear,True,2,22828,15435,0.8306208298134203,0.5007418428100922
M,all,2,linear_BasExp,True,2,61737,15435,0.788636636561771,0.4590678646472118
M,all,2,linear_BasExp,True,2,22828,15435,0.7902019107075142,0.45901898096862825
M,all,2,tree,True,2,61737,15435,0.7345644973109454,0.40355710280066515
M,all,2,tree,True,2,22828,15435,0.740939646665671,0.41324227173025435
M,same,3,featureless,True,2,22828,15434,0.9702742252188982,0.6187672550402307
M,same,3,linear,True,2,22828,15434,0.8443072886776326,0.48215857517281746
