subset,category,fold_id,model,downsample,seed_id,train_size,test_size,rmse,mae,train_time
Archaeal nitrifier,other,1,featureless,False,0,187438,278,0.025522076,0.019958563,5.027031898498535
Archaeal nitrifier,other,1,featureless,True,1,1110,278,0.024587156,0.017971892,0.1362359523773193
Archaeal nitrifier,other,1,featureless,True,2,1110,278,0.025838196,0.019935515,0.1330392360687255
Archaeal nitrifier,other,1,featureless,True,3,1110,278,0.026093109,0.020314083,0.1331896781921386
Heterotroph,other,1,featureless,False,0,11741,35417,0.034567468,0.019552756,3.2736656665802
Bacterial nitrifier,other,1,featureless,False,0,185902,585,0.02994339,0.020389372,6.011558771133423
Bacterial nitrifier,other,1,featureless,True,1,2339,585,0.02978906,0.019575015,0.4333798885345459
Bacterial nitrifier,other,1,featureless,True,2,2339,585,0.030064518,0.021025002,0.432584285736084
Bacterial nitrifier,other,1,featureless,True,3,2339,585,0.029992659,0.0206697,0.4327552318572998
"Iron, sulfur, hydrogen oxidizer",other,1,featureless,False,0,188433,79,0.026315672,0.021311,5.16136360168457
"Iron, sulfur, hydrogen oxidizer",other,1,featureless,True,1,314,79,0.02634925,0.020991936,0.0400009155273437
"Iron, sulfur, hydrogen oxidizer",other,1,featureless,True,2,314,79,0.026345197,0.020776048,0.0377688407897949
"Iron, sulfur, hydrogen oxidizer",other,1,featureless,True,3,314,79,0.026429627,0.019703882,0.0377042293548584
Nitrogen Fixer,other,1,featureless,False,0,182430,1280,0.033680525,0.019382518,5.910738468170166
Nitrogen Fixer,other,1,featureless,True,1,5116,1280,0.03376184,0.019054398,0.9156830310821532
Nitrogen Fixer,other,1,featureless,True,2,5116,1280,0.033660866,0.019507691,0.9152088165283204
Nitrogen Fixer,other,1,featureless,True,3,5116,1280,0.03379343,0.018964136,0.9150638580322266
Methanogen or Acetogen,other,1,featureless,False,0,188796,6,0.058669534,0.028692666,5.958069086074829
Methanogen or Acetogen,other,1,featureless,True,1,24,6,0.058083277,0.028692666,0.0044898986816406
Methanogen or Acetogen,other,1,featureless,True,2,24,6,0.05743943,0.033321515,0.0044753551483154
Methanogen or Acetogen,other,1,featureless,True,3,24,6,0.05927048,0.02721329,0.0042316913604736
Methanotroph,other,1,featureless,False,0,188216,122,0.03346712,0.021690655,5.850519418716431
Methanotroph,other,1,featureless,True,1,488,122,0.033510063,0.02150372,0.0894520282745361
Methanotroph,other,1,featureless,True,2,488,122,0.033552106,0.021283962,0.0877566337585449
Methanotroph,other,1,featureless,True,3,488,122,0.034086816,0.018596629,0.087054967880249
Heterotroph,other,1,linear,False,0,11741,35417,0.03723606,0.018905926,7578.930277109146
Nitrogen Fixer,other,1,linear,False,0,182430,1280,0.03628138,0.019391565,27686.5083193779
Nitrogen Fixer,other,1,linear,True,1,5116,1280,0.03583036,0.018267063,60.10002946853638
Nitrogen Fixer,other,1,linear,True,2,5116,1280,0.037085615,0.019389426,59.34243822097778
Nitrogen Fixer,other,1,linear,True,3,5116,1280,0.036603972,0.016879745,59.51286602020264
Methanotroph,other,1,linear,False,0,188216,122,0.04637868,0.02473221,35648.12229990959
Methanotroph,other,1,linear,True,1,488,122,0.031538047,0.021371517,1.9657964706420896
Methanotroph,other,1,linear,True,2,488,122,0.031376023,0.018173806,1.3935320377349854
Methanotroph,other,1,linear,True,3,488,122,0.03550114,0.017382048,1.3863701820373535
"Iron, sulfur, hydrogen oxidizer",other,1,linear,False,0,188433,79,0.026101762,0.018786311,28318.11248898506
"Iron, sulfur, hydrogen oxidizer",other,1,linear,True,1,314,79,0.027637482,0.018428002,1.726358413696289
"Iron, sulfur, hydrogen oxidizer",other,1,linear,True,2,314,79,0.028009526,0.015248154,0.6733274459838867
"Iron, sulfur, hydrogen oxidizer",other,1,linear,True,3,314,79,0.028489977,0.018284207,0.6673219203948975
Bacterial nitrifier,other,1,linear,False,0,185902,585,0.03405884,0.018788006,41580.57752943039
Bacterial nitrifier,other,1,linear,True,1,2339,585,0.029562587,0.019305684,19.50328016281128
Bacterial nitrifier,other,1,linear,True,2,2339,585,0.030619495,0.021126084,18.321058988571167
Bacterial nitrifier,other,1,linear,True,3,2339,585,0.033402987,0.02074267,18.31834554672241
Methanogen or Acetogen,other,1,linear,False,0,188796,6,0.0571634,0.033880707,42144.84224796295
Methanogen or Acetogen,other,1,linear,True,1,24,6,0.057819784,0.02843447,0.3557872772216797
Methanogen or Acetogen,other,1,linear,True,2,24,6,0.05886734,0.02598805,0.091036319732666
Methanogen or Acetogen,other,1,linear,True,3,24,6,0.05957146,0.023130354,0.0905807018280029
Archaeal nitrifier,other,1,linear,False,0,187438,278,0.028877899,0.015358482,41931.868451833725
Archaeal nitrifier,other,1,linear,True,1,1110,278,0.02246114,0.013123592,5.894006967544556
Archaeal nitrifier,other,1,linear,True,2,1110,278,0.055235654,0.05591847,4.625102519989014
Archaeal nitrifier,other,1,linear,True,3,1110,278,0.023086233,0.013435731,4.629567384719849
Heterotroph,other,1,tree,False,0,11741,35417,0.0356001253827671,0.0157513391083195,122.89483571052553
Nitrogen Fixer,other,1,tree,False,0,182430,1280,0.0351848926956275,0.0200235719766425,3560.691225767136
Nitrogen Fixer,other,1,tree,True,1,5116,1280,0.0344884696661658,0.0204453649930655,75.66954207420349
Nitrogen Fixer,other,1,tree,True,2,5116,1280,0.036931849130783,0.0202802944693102,71.1273136138916
Nitrogen Fixer,other,1,tree,True,3,5116,1280,0.0344721664960961,0.0194535464979708,65.89357042312622
Methanotroph,other,1,tree,False,0,188216,122,0.0338429247043653,0.0192600612561759,3490.971920490265
Methanotroph,other,1,tree,True,1,488,122,0.0336003098959724,0.0208954662604376,5.79082989692688
Methanotroph,other,1,tree,True,2,488,122,0.0343975053776233,0.018922952003777,5.857112407684326
Methanotroph,other,1,tree,True,3,488,122,0.035179707800908,0.0174086217302829,5.694931983947754
"Iron, sulfur, hydrogen oxidizer",other,1,tree,False,0,188433,79,0.0284150207338018,0.0199417487452542,3489.8811774253845
"Iron, sulfur, hydrogen oxidizer",other,1,tree,True,1,314,79,0.0274887079862631,0.0186731145020237,4.908918380737305
"Iron, sulfur, hydrogen oxidizer",other,1,tree,True,2,314,79,0.0272943946860402,0.0182884692329339,4.190994739532471
"Iron, sulfur, hydrogen oxidizer",other,1,tree,True,3,314,79,0.0266826390401325,0.0179253291030068,4.008392333984375
Bacterial nitrifier,other,1,tree,False,0,185902,585,0.0302767247855501,0.0173212890549705,4689.992464542389
Bacterial nitrifier,other,1,tree,True,1,2339,585,0.0351912460649982,0.0297972536583567,34.825106143951416
Bacterial nitrifier,other,1,tree,True,2,2339,585,0.0320054998351379,0.0193424811950767,34.959718227386475
Bacterial nitrifier,other,1,tree,True,3,2339,585,0.030455405063282,0.021102949978737,33.341490030288696
Archaeal nitrifier,other,1,tree,False,0,187438,278,0.0236686616313266,0.0162034096670175,3300.146180868149
Archaeal nitrifier,other,1,tree,True,1,1110,278,0.0230999434928661,0.0143376198782436,19.01918864250183
Archaeal nitrifier,other,1,tree,True,2,1110,278,0.0244034673519812,0.0175167514122909,18.595442295074463
Archaeal nitrifier,other,1,tree,True,3,1110,278,0.0236927420037263,0.016252234947575,16.21836543083191
Methanogen or Acetogen,other,1,tree,False,0,188796,6,0.0588010886363035,0.026750134506822,3457.3818583488464
Methanogen or Acetogen,other,1,tree,True,1,24,6,0.066887348547381,0.0072225561307277,1.437882423400879
Methanogen or Acetogen,other,1,tree,True,2,24,6,0.0686735137586613,0.0071054715663194,0.420802354812622
Methanogen or Acetogen,other,1,tree,True,3,24,6,0.0595588709494201,0.0254008121687961,0.3741078376770019
Heterotroph,other,2,featureless,False,0,11741,35417,0.034213055,0.019558404,1.5764548778533936
Bacterial nitrifier,other,2,featureless,False,0,185902,585,0.030897303,0.019404259,3.3822386264801025
Bacterial nitrifier,other,2,featureless,True,1,2339,585,0.030777058,0.018772129,0.1331391334533691
Bacterial nitrifier,other,2,featureless,True,2,2339,585,0.030995274,0.0199624,0.1332037448883056
Bacterial nitrifier,other,2,featureless,True,3,2339,585,0.030936852,0.019674014,0.1330058574676513
Nitrogen Fixer,other,2,featureless,False,0,182430,1279,0.03370138,0.019661758,5.87166953086853
Nitrogen Fixer,other,2,featureless,True,1,5116,1279,0.033818625,0.019381544,0.9160118103027344
Nitrogen Fixer,other,2,featureless,True,2,5116,1279,0.03367225,0.019618832,0.9154009819030762
Nitrogen Fixer,other,2,featureless,True,3,5116,1279,0.033863023,0.019289995,0.91520357131958
Methanotroph,other,2,featureless,False,0,188216,122,0.035313368,0.022386374,5.026751756668091
Methanotroph,other,2,featureless,True,1,488,122,0.035371732,0.022043776,0.0617988109588623
Methanotroph,other,2,featureless,True,2,488,122,0.035427026,0.021671377,0.0593488216400146
Methanotroph,other,2,featureless,True,3,488,122,0.036066018,0.02003052,0.0585453510284423
"Iron, sulfur, hydrogen oxidizer",other,2,featureless,False,0,188433,79,0.02602482,0.017434835,5.065688610076904
"Iron, sulfur, hydrogen oxidizer",other,2,featureless,True,1,314,79,0.02594078,0.017160207,0.0399489402770996
"Iron, sulfur, hydrogen oxidizer",other,2,featureless,True,2,314,79,0.026089096,0.017268103,0.0378792285919189
"Iron, sulfur, hydrogen oxidizer",other,2,featureless,True,3,314,79,0.026229326,0.016933309,0.037935733795166
Archaeal nitrifier,other,2,featureless,False,0,187438,278,0.022440746,0.020918358,3.3755197525024414
Archaeal nitrifier,other,2,featureless,True,1,1110,278,0.021103181,0.019255646,0.0633232593536377
Archaeal nitrifier,other,2,featureless,True,2,1110,278,0.022876618,0.021430582,0.0610866546630859
Archaeal nitrifier,other,2,featureless,True,3,1110,278,0.023223236,0.021935385,0.0608398914337158
Methanogen or Acetogen,other,2,featureless,False,0,188796,6,0.054649495,0.025317803,5.033492088317871
Methanogen or Acetogen,other,2,featureless,True,1,24,6,0.054076113,0.027306657,0.0030474662780761
Methanogen or Acetogen,other,2,featureless,True,2,24,6,0.05351859,0.035120927,0.0029938220977783
Methanogen or Acetogen,other,2,featureless,True,3,24,6,0.0552498,0.025317803,0.0028495788574218
Heterotroph,other,2,linear,False,0,11741,35417,0.037059713,0.018854676,6562.715405225754
Nitrogen Fixer,other,2,linear,False,0,182430,1279,0.036007244,0.02057743,40841.36804676056
Nitrogen Fixer,other,2,linear,True,1,5116,1279,0.035627197,0.019591454,86.84241437911987
Nitrogen Fixer,other,2,linear,True,2,5116,1279,0.036298368,0.020419894,85.47281861305237
Nitrogen Fixer,other,2,linear,True,3,5116,1279,0.036816392,0.018844906,85.46195316314697
Methanotroph,other,2,linear,False,0,188216,122,0.045762517,0.02343671,42560.967943906784
