subset,category,fold_id,model,downsample,seed_id,train_size,test_size,rmse,mae,train_time
nitrogen fixer,same,2,featureless,False,0,5117,1279,0.033131916,0.022197548,0.7715508937835693
methanotrophs/methylotrophs,same,2,featureless,False,0,415,104,0.031028302,0.022569457,0.0717420578002929
sulfur oxidizer,same,2,featureless,False,0,17,5,0.04011839,0.02136969,0.012125015258789
sulfate reducer,same,2,featureless,False,0,49,13,0.043391097,0.033449475,0.0119025707244873
nitrite oxidizer,same,2,featureless,False,0,12,3,0.008191874,0.0054692365,0.0031313896179199
hydrogen and sulfur oxidizers,same,2,featureless,False,0,16,4,0.024394576,0.0237263,0.0022790431976318
iron oxidizer,same,2,featureless,False,0,72,18,0.027229933,0.018599197,0.0161769390106201
methanotrophs,same,2,featureless,False,0,10,3,0.027121725,0.020212244,0.0021765232086181
probably not methanotrophs,same,2,linear,False,0,511,128,0.020603891,0.012210298,1.4857983589172363
heterotroph,same,2,linear,False,0,36,9,0.039488263,0.02791705,0.0877342224121093
"methanotrophs (also methylotrophs, so not all obligate autotrophs)",same,2,linear,False,0,62,16,0.018749448,0.010795513,0.1501169204711914
"iron oxidizer, sulfur oxidizer",same,2,linear,False,0,202,51,0.021149946,0.012379982,0.4876959323883056
nitrite oxidizer,same,2,linear,False,0,12,3,0.008191874,0.0054692365,0.0867085456848144
"nitrite oxidizer, hydrogen oxidizer",same,2,linear,False,0,308,77,0.019064117,0.013317008,0.7847549915313721
clostridium,same,2,linear,False,0,180,45,0.028831307,0.014891464,0.3731591701507568
Heterotroph,same,2,linear,False,0,140836,35209,0.032000557,0.016025066,30538.04613375664
Heterotroph,same,2,linear,True,1,12781,35209,0.0326536,0.016327936,2345.5970363616943
Heterotroph,same,2,linear,True,2,12781,35209,0.03259416,0.016277025,1962.0812323093412
Heterotroph,same,2,linear,True,3,12781,35209,0.032752622,0.016281618,3163.548771381378
hydrogen and sulfur oxidizers,same,2,linear,False,0,16,4,0.02243431,0.014602256,0.0788333415985107
iron oxidizer,same,2,linear,False,0,72,18,0.034832682,0.018844372,0.1698517799377441
methanotrophs/methylotrophs,same,2,linear,False,0,415,104,0.027707951,0.018902503,1.4369754791259766
"hydrogen producer, fermenter heterotroph",same,2,linear,False,0,3,1,0.0015806769,0.0015806769,0.3081514835357666
sulfur oxidizer,same,2,linear,False,0,17,5,0.040200375,0.025450673,0.3494770526885986
hydrogen or sulfur oxizier,same,2,linear,False,0,6,2,0.0036399043,0.003546453,0.2997357845306396
nitrogen fixer,same,2,linear,False,0,5117,1279,0.031422265,0.019692164,89.55543613433838
